2026-07-22 22:17:43,320 | INFO     | cv_module.events | Событие evt_026646: smoke (0.93)
2026-07-22 22:17:43,324 | INFO     | cv_module.events | Событие evt_026647: smoke (0.51)
2026-07-22 22:17:43,328 | INFO     | cv_module.events | Событие evt_026648: smoke (0.51)
2026-07-22 22:17:43,400 | INFO     | cv_module.events | Событие evt_026649: vehicle (0.65)
2026-07-22 22:17:43,405 | INFO     | cv_module.events | Событие evt_026650: smoke (0.50)
2026-07-22 22:17:43,409 | INFO     | cv_module.events | Событие evt_026651: smoke (0.51)
2026-07-22 22:17:43,481 | INFO     | cv_module.events | Событие evt_026652: person (0.84)
2026-07-22 22:17:43,485 | INFO     | cv_module.events | Событие evt_026653: vehicle (0.13)
2026-07-22 22:17:43,488 | INFO     | cv_module.events | Событие evt_026654: smoke (0.93)
2026-07-22 22:17:43,562 | INFO     | cv_module.events | Событие evt_026655: vehicle (0.10)
2026-07-22 22:17:43,566 | INFO     | cv_module.events | Событие evt_026656: smoke (0.50)
2026-07-22 22:17:43,570 | INFO     | cv_module.events | Событие evt_026657: smoke (0.51)
2026-07-22 22:17:43,640 | INFO     | cv_module.events | Событие evt_026658: smoke (0.94)
2026-07-22 22:17:43,644 | INFO     | cv_module.events | Событие evt_026659: water (0.47)
2026-07-22 22:17:43,714 | INFO     | cv_module.events | Событие evt_026660: person (0.86)
2026-07-22 22:17:43,718 | INFO     | cv_module.events | Событие evt_026661: smoke (0.50)
2026-07-22 22:17:43,722 | INFO     | cv_module.events | Событие evt_026662: smoke (0.50)
2026-07-22 22:17:43,791 | INFO     | cv_module.events | Событие evt_026663: vehicle (0.08)
2026-07-22 22:17:43,796 | INFO     | cv_module.events | Событие evt_026664: vehicle (0.08)
2026-07-22 22:17:43,801 | INFO     | cv_module.events | Событие evt_026665: smoke (0.51)
2026-07-22 22:17:43,804 | INFO     | cv_module.events | Событие evt_026666: water (0.46)
2026-07-22 22:17:43,878 | INFO     | cv_module.events | Событие evt_026667: water (0.47)
2026-07-22 22:17:43,956 | INFO     | cv_module.events | Событие evt_026668: smoke (0.51)
2026-07-22 22:17:43,960 | INFO     | cv_module.events | Событие evt_026669: smoke (0.51)
2026-07-22 22:17:44,031 | INFO     | cv_module.events | Событие evt_026670: vehicle (0.64)
2026-07-22 22:17:44,035 | INFO     | cv_module.events | Событие evt_026671: smoke (0.50)
2026-07-22 22:17:44,040 | INFO     | cv_module.events | Событие evt_026672: smoke (0.97)
2026-07-22 22:17:44,110 | INFO     | cv_module.events | Событие evt_026673: person (0.85)
2026-07-22 22:17:44,115 | INFO     | cv_module.events | Событие evt_026674: smoke (0.93)
2026-07-22 22:17:44,119 | INFO     | cv_module.events | Событие evt_026675: smoke (0.54)
2026-07-22 22:17:44,122 | INFO     | cv_module.events | Событие evt_026676: water (0.48)
2026-07-22 22:17:44,192 | INFO     | cv_module.events | Событие evt_026677: vehicle (0.08)
2026-07-22 22:17:44,198 | INFO     | cv_module.events | Событие evt_026678: smoke (0.51)
2026-07-22 22:17:44,202 | INFO     | cv_module.events | Событие evt_026679: water (0.48)
2026-07-22 22:17:44,275 | INFO     | cv_module.events | Событие evt_026680: smoke (0.50)
2026-07-22 22:17:44,279 | INFO     | cv_module.events | Событие evt_026681: smoke (0.50)
2026-07-22 22:17:44,283 | INFO     | cv_module.events | Событие evt_026682: smoke (0.52)
2026-07-22 22:17:44,357 | INFO     | cv_module.events | Событие evt_026683: smoke (0.52)
2026-07-22 22:17:44,435 | INFO     | cv_module.events | Событие evt_026684: vehicle (0.11)
2026-07-22 22:17:44,439 | INFO     | cv_module.events | Событие evt_026685: smoke (0.51)
2026-07-22 22:17:44,515 | INFO     | cv_module.events | Событие evt_026686: person (0.11)
2026-07-22 22:17:44,520 | INFO     | cv_module.events | Событие evt_026687: smoke (0.94)
2026-07-22 22:17:44,524 | INFO     | cv_module.events | Событие evt_026688: smoke (0.50)
2026-07-22 22:17:44,598 | INFO     | cv_module.events | Событие evt_026689: person (0.51)
2026-07-22 22:17:44,604 | INFO     | cv_module.events | Событие evt_026690: no_helmet (0.85)
2026-07-22 22:17:44,607 | INFO     | cv_module.events | Событие evt_026691: smoke (0.51)
2026-07-22 22:17:44,611 | INFO     | cv_module.events | Событие evt_026692: smoke (0.51)
2026-07-22 22:17:44,686 | INFO     | cv_module.events | Событие evt_026693: vehicle (0.61)
2026-07-22 22:17:44,691 | INFO     | cv_module.events | Событие evt_026694: vehicle (0.07)
2026-07-22 22:17:44,697 | INFO     | cv_module.events | Событие evt_026695: smoke (0.50)
2026-07-22 22:17:44,701 | INFO     | cv_module.events | Событие evt_026696: smoke (0.50)
2026-07-22 22:17:44,705 | INFO     | cv_module.events | Событие evt_026697: smoke (0.51)
2026-07-22 22:17:44,709 | INFO     | cv_module.events | Событие evt_026698: water (0.48)
2026-07-22 22:17:44,780 | INFO     | cv_module.events | Событие evt_026699: person (0.90)
2026-07-22 22:17:44,785 | INFO     | cv_module.events | Событие evt_026700: vehicle (0.09)
2026-07-22 22:17:44,789 | INFO     | cv_module.events | Событие evt_026701: smoke (0.95)
2026-07-22 22:17:44,794 | INFO     | cv_module.events | Событие evt_026702: smoke (0.50)
2026-07-22 22:17:44,800 | INFO     | cv_module.events | Событие evt_026703: smoke (0.50)
2026-07-22 22:17:44,805 | INFO     | cv_module.events | Событие evt_026704: smoke (0.51)
2026-07-22 22:17:44,875 | INFO     | cv_module.events | Событие evt_026705: smoke (0.51)
2026-07-22 22:17:44,879 | INFO     | cv_module.events | Событие evt_026706: water (0.47)
2026-07-22 22:17:44,953 | INFO     | cv_module.events | Событие evt_026707: person (0.87)
2026-07-22 22:17:45,030 | INFO     | cv_module.events | Событие evt_026708: smoke (0.52)
2026-07-22 22:17:45,109 | INFO     | cv_module.events | Событие evt_026709: smoke (0.51)
2026-07-22 22:17:45,187 | INFO     | cv_module.events | Событие evt_026710: vehicle (0.09)
2026-07-22 22:17:45,267 | INFO     | cv_module.events | Событие evt_026711: vehicle (0.11)
2026-07-22 22:17:45,272 | INFO     | cv_module.events | Событие evt_026712: water (0.47)
2026-07-22 22:17:45,348 | INFO     | cv_module.events | Событие evt_026713: vehicle (0.08)
2026-07-22 22:17:45,353 | INFO     | cv_module.events | Событие evt_026714: smoke (0.96)
2026-07-22 22:17:45,357 | INFO     | cv_module.events | Событие evt_026715: smoke (0.51)
2026-07-22 22:17:45,362 | INFO     | cv_module.events | Событие evt_026716: water (0.48)
2026-07-22 22:17:45,440 | INFO     | cv_module.events | Событие evt_026717: vehicle (0.63)
2026-07-22 22:17:45,445 | INFO     | cv_module.events | Событие evt_026718: smoke (0.50)
2026-07-22 22:17:45,518 | INFO     | cv_module.events | Событие evt_026719: smoke (0.97)
2026-07-22 22:17:45,592 | INFO     | cv_module.events | Событие evt_026720: person (0.91)
2026-07-22 22:17:45,597 | INFO     | cv_module.events | Событие evt_026721: vehicle (0.09)
2026-07-22 22:17:45,601 | INFO     | cv_module.events | Событие evt_026722: person (0.07)
2026-07-22 22:17:45,605 | INFO     | cv_module.events | Событие evt_026723: smoke (0.50)
2026-07-22 22:17:45,609 | INFO     | cv_module.events | Событие evt_026724: smoke (0.94)
2026-07-22 22:17:45,615 | INFO     | cv_module.events | Событие evt_026725: smoke (0.50)
2026-07-22 22:17:45,619 | INFO     | cv_module.events | Событие evt_026726: smoke (0.52)
2026-07-22 22:17:45,623 | INFO     | cv_module.events | Событие evt_026727: smoke (0.51)
2026-07-22 22:17:45,697 | INFO     | cv_module.events | Событие evt_026728: vehicle (0.07)
2026-07-22 22:17:45,703 | INFO     | cv_module.events | Событие evt_026729: smoke (0.50)
2026-07-22 22:17:45,707 | INFO     | cv_module.events | Событие evt_026730: smoke (0.51)
2026-07-22 22:17:45,782 | INFO     | cv_module.events | Событие evt_026731: person (0.58)
2026-07-22 22:17:45,786 | INFO     | cv_module.events | Событие evt_026732: smoke (0.50)
2026-07-22 22:17:45,790 | INFO     | cv_module.events | Событие evt_026733: smoke (0.50)
2026-07-22 22:17:45,794 | INFO     | cv_module.events | Событие evt_026734: water (0.48)
2026-07-22 22:17:45,876 | INFO     | cv_module.events | Событие evt_026735: smoke (0.52)
2026-07-22 22:17:45,882 | INFO     | cv_module.events | Событие evt_026736: smoke (0.51)
2026-07-22 22:17:46,027 | INFO     | cv_module.events | Событие evt_026737: smoke (0.52)
2026-07-22 22:17:46,103 | INFO     | cv_module.events | Событие evt_026738: vehicle (0.59)
2026-07-22 22:17:46,107 | INFO     | cv_module.events | Событие evt_026739: smoke (0.51)
2026-07-22 22:17:46,112 | INFO     | cv_module.events | Событие evt_026740: water (0.47)
2026-07-22 22:17:46,188 | INFO     | cv_module.events | Событие evt_026741: smoke (0.96)
2026-07-22 22:17:46,264 | INFO     | cv_module.events | Событие evt_026742: vehicle (0.07)
2026-07-22 22:17:46,270 | INFO     | cv_module.events | Событие evt_026743: smoke (0.51)
2026-07-22 22:17:46,348 | INFO     | cv_module.events | Событие evt_026744: smoke (0.50)
2026-07-22 22:17:46,714 | INFO     | cv_module.events | Событие evt_026745: smoke (0.95)
2026-07-22 22:17:46,718 | INFO     | cv_module.events | Событие evt_026746: smoke (0.53)
2026-07-22 22:17:46,798 | INFO     | cv_module.events | Событие evt_026747: smoke (0.95)
2026-07-22 22:17:46,803 | INFO     | cv_module.events | Событие evt_026748: water (0.46)
2026-07-22 22:17:46,878 | INFO     | cv_module.events | Событие evt_026749: vehicle (0.09)
2026-07-22 22:17:46,883 | INFO     | cv_module.events | Событие evt_026750: smoke (0.51)
2026-07-22 22:17:46,887 | INFO     | cv_module.events | Событие evt_026751: smoke (0.51)
2026-07-22 22:17:46,891 | INFO     | cv_module.events | Событие evt_026752: water (0.46)
2026-07-22 22:17:46,972 | INFO     | cv_module.events | Событие evt_026753: person (0.83)
2026-07-22 22:17:47,049 | INFO     | cv_module.events | Событие evt_026754: smoke (0.50)
2026-07-22 22:17:47,055 | INFO     | cv_module.events | Событие evt_026755: smoke (0.52)
2026-07-22 22:17:47,060 | INFO     | cv_module.events | Событие evt_026756: water (0.47)
2026-07-22 22:17:47,135 | INFO     | cv_module.events | Событие evt_026757: smoke (0.51)
2026-07-22 22:17:47,213 | INFO     | cv_module.events | Событие evt_026758: person (0.92)
2026-07-22 22:17:47,218 | INFO     | cv_module.events | Событие evt_026759: vehicle (0.53)
2026-07-22 22:17:47,295 | INFO     | cv_module.events | Событие evt_026760: water (0.47)
2026-07-22 22:17:47,373 | INFO     | cv_module.events | Событие evt_026761: smoke (0.50)
2026-07-22 22:17:47,378 | INFO     | cv_module.events | Событие evt_026762: smoke (0.50)
2026-07-22 22:17:47,384 | INFO     | cv_module.events | Событие evt_026763: smoke (0.96)
2026-07-22 22:17:47,461 | INFO     | cv_module.events | Событие evt_026764: vehicle (0.08)
2026-07-22 22:17:47,540 | INFO     | cv_module.events | Событие evt_026765: person (0.65)
2026-07-22 22:17:47,544 | INFO     | cv_module.events | Событие evt_026766: smoke (0.51)
2026-07-22 22:17:47,548 | INFO     | cv_module.events | Событие evt_026767: water (0.47)
2026-07-22 22:17:47,622 | INFO     | cv_module.events | Событие evt_026768: smoke (0.51)
2026-07-22 22:17:47,626 | INFO     | cv_module.events | Событие evt_026769: smoke (0.94)
2026-07-22 22:17:47,705 | INFO     | cv_module.events | Событие evt_026770: person (0.85)
2026-07-22 22:17:47,711 | INFO     | cv_module.events | Событие evt_026771: smoke (0.50)
2026-07-22 22:17:47,715 | INFO     | cv_module.events | Событие evt_026772: smoke (0.51)
2026-07-22 22:17:47,721 | INFO     | cv_module.events | Событие evt_026773: smoke (0.51)
2026-07-22 22:17:47,725 | INFO     | cv_module.events | Событие evt_026774: water (0.47)
2026-07-22 22:17:47,803 | INFO     | cv_module.events | Событие evt_026775: smoke (0.51)
2026-07-22 22:17:48,043 | INFO     | cv_module.events | Событие evt_026776: person (0.92)
2026-07-22 22:17:48,049 | INFO     | cv_module.events | Событие evt_026777: vehicle (0.44)
2026-07-22 22:17:48,053 | INFO     | cv_module.events | Событие evt_026778: smoke (0.53)
2026-07-22 22:17:48,057 | INFO     | cv_module.events | Событие evt_026779: smoke (0.51)
2026-07-22 22:17:48,062 | INFO     | cv_module.events | Событие evt_026780: water (0.49)
2026-07-22 22:17:48,140 | INFO     | cv_module.events | Событие evt_026781: vehicle (0.71)
2026-07-22 22:17:48,145 | INFO     | cv_module.events | Событие evt_026782: smoke (0.90)
2026-07-22 22:17:48,225 | INFO     | cv_module.events | Событие evt_026783: smoke (0.51)
2026-07-22 22:17:48,301 | INFO     | cv_module.events | Событие evt_026784: vehicle (0.08)
2026-07-22 22:17:48,306 | INFO     | cv_module.events | Событие evt_026785: smoke (0.50)
2026-07-22 22:17:48,311 | INFO     | cv_module.events | Событие evt_026786: smoke (0.50)
2026-07-22 22:17:48,384 | INFO     | cv_module.events | Событие evt_026787: vehicle (0.07)
2026-07-22 22:17:48,390 | INFO     | cv_module.events | Событие evt_026788: smoke (0.51)
2026-07-22 22:17:48,633 | INFO     | cv_module.events | Событие evt_026789: vehicle (0.16)
2026-07-22 22:17:48,638 | INFO     | cv_module.events | Событие evt_026790: vehicle (0.08)
2026-07-22 22:17:48,643 | INFO     | cv_module.events | Событие evt_026791: smoke (0.86)
2026-07-22 22:17:48,647 | INFO     | cv_module.events | Событие evt_026792: smoke (0.54)
